300 1200
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 
12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 
1	101	201
2	102	202
3	103	203
4	104	204
5	105	205
6	106	206
7	107	207
8	108	208
9	109	209
10	110	210
11	111	211
12	112	212
13	113	213
14	114	214
15	115	215
16	116	216
17	117	217
18	118	218
19	119	219
20	120	220
21	121	221
22	122	222
23	123	223
24	124	224
25	125	225
26	126	226
27	127	227
28	128	228
29	129	229
30	130	230
31	131	231
32	132	232
33	133	233
34	134	234
35	135	235
36	136	236
37	137	237
38	138	238
39	139	239
40	140	240
41	141	241
42	142	242
43	143	243
44	144	244
45	145	245
46	146	246
47	147	247
48	148	248
49	149	249
50	150	250
51	151	251
52	152	252
53	153	253
54	154	254
55	155	255
56	156	256
57	157	257
58	158	258
59	159	259
60	160	260
61	161	261
62	162	262
63	163	263
64	164	264
65	165	265
66	166	266
67	167	267
68	168	268
69	169	269
70	170	270
71	171	271
72	172	272
73	173	273
74	174	274
75	175	275
76	176	276
77	177	277
78	178	278
79	179	279
80	180	280
81	181	281
82	182	282
83	183	283
84	184	284
85	185	285
86	186	286
87	187	287
88	188	288
89	189	289
90	190	290
91	191	291
92	192	292
93	193	293
94	194	294
95	195	295
96	196	296
97	197	297
98	198	298
99	199	299
100	200	300
1	142	219
2	184	238
3	125	257
4	167	276
5	108	295
6	150	213
7	192	232
8	133	251
9	175	270
10	116	289
11	158	207
12	200	226
13	141	245
14	183	264
15	124	283
16	166	201
17	107	220
18	149	239
19	191	258
20	132	277
21	174	296
22	115	214
23	157	233
24	199	252
25	140	271
26	182	290
27	123	208
28	165	227
29	106	246
30	148	265
31	190	284
32	131	202
33	173	221
34	114	240
35	156	259
36	198	278
37	139	297
38	181	215
39	122	234
40	164	253
41	105	272
42	147	291
43	189	209
44	130	228
45	172	247
46	113	266
47	155	285
48	197	203
49	138	222
50	180	241
51	121	260
52	163	279
53	104	298
54	146	216
55	188	235
56	129	254
57	171	273
58	112	292
59	154	210
60	196	229
61	137	248
62	179	267
63	120	286
64	162	204
65	103	223
66	145	242
67	187	261
68	128	280
69	170	299
70	111	217
71	153	236
72	195	255
73	136	274
74	178	293
75	119	211
76	161	230
77	102	249
78	144	268
79	186	287
80	127	205
81	169	224
82	110	243
83	152	262
84	194	281
85	135	300
86	177	218
87	118	237
88	160	256
89	101	275
90	143	294
91	185	212
92	126	231
93	168	250
94	109	269
95	151	288
96	193	206
97	134	225
98	176	244
99	117	263
100	159	282
1	120	226
2	140	252
3	160	278
4	180	203
5	200	229
6	119	255
7	139	281
8	159	206
9	179	232
10	199	258
11	118	284
12	138	209
13	158	235
14	178	261
15	198	287
16	117	212
17	137	238
18	157	264
19	177	290
20	197	215
21	116	241
22	136	267
23	156	293
24	176	218
25	196	244
26	115	270
27	135	296
28	155	221
29	175	247
30	195	273
31	114	299
32	134	224
33	154	250
34	174	276
35	194	201
36	113	227
37	133	253
38	153	279
39	173	204
40	193	230
41	112	256
42	132	282
43	152	207
44	172	233
45	192	259
46	111	285
47	131	210
48	151	236
49	171	262
50	191	288
51	110	213
52	130	239
53	150	265
54	170	291
55	190	216
56	109	242
57	129	268
58	149	294
59	169	219
60	189	245
61	108	271
62	128	297
63	148	222
64	168	248
65	188	274
66	107	300
67	127	225
68	147	251
69	167	277
70	187	202
71	106	228
72	126	254
73	146	280
74	166	205
75	186	231
76	105	257
77	125	283
78	145	208
79	165	234
80	185	260
81	104	286
82	124	211
83	144	237
84	164	263
85	184	289
86	103	214
87	123	240
88	143	266
89	163	292
90	183	217
91	102	243
92	122	269
93	142	295
94	162	220
95	182	246
96	101	272
97	121	298
98	141	223
99	161	249
100	181	275
1	139	248
2	178	296
3	116	243
4	155	291
5	194	238
6	132	286
7	171	233
8	109	281
9	148	228
10	187	276
11	125	223
12	164	271
13	102	218
14	141	266
15	180	213
16	118	261
17	157	208
18	196	256
19	134	203
20	173	251
21	111	299
22	150	246
23	189	294
24	127	241
25	166	289
26	104	236
27	143	284
28	182	231
29	120	279
30	159	226
31	198	274
32	136	221
33	175	269
34	113	216
35	152	264
36	191	211
37	129	259
38	168	206
39	106	254
40	145	201
41	184	249
42	122	297
43	161	244
44	200	292
45	138	239
46	177	287
47	115	234
48	154	282
49	193	229
50	131	277
51	170	224
52	108	272
53	147	219
54	186	267
55	124	214
56	163	262
57	101	209
58	140	257
59	179	204
60	117	252
61	156	300
62	195	247
63	133	295
64	172	242
65	110	290
66	149	237
67	188	285
68	126	232
69	165	280
70	103	227
71	142	275
72	181	222
73	119	270
74	158	217
75	197	265
76	135	212
77	174	260
78	112	207
79	151	255
80	190	202
81	128	250
82	167	298
83	105	245
84	144	293
85	183	240
86	121	288
87	160	235
88	199	283
89	137	230
90	176	278
91	114	225
92	153	273
93	192	220
94	130	268
95	169	215
96	107	263
97	146	210
98	185	258
99	123	205
100	162	253
1	140	236
2	180	272
3	119	207
4	159	243
5	199	279
6	138	214
7	178	250
8	117	286
9	157	221
10	197	257
11	136	293
12	176	228
13	115	264
14	155	300
15	195	235
16	134	271
17	174	206
18	113	242
19	153	278
20	193	213
21	132	249
22	172	285
23	111	220
24	151	256
25	191	292
26	130	227
27	170	263
28	109	299
29	149	234
30	189	270
31	128	205
32	168	241
33	107	277
34	147	212
35	187	248
36	126	284
37	166	219
38	105	255
39	145	291
40	185	226
41	124	262
42	164	298
43	103	233
44	143	269
45	183	204
46	122	240
47	162	276
48	101	211
49	141	247
50	181	283
51	120	218
52	160	254
53	200	290
54	139	225
55	179	261
56	118	297
57	158	232
58	198	268
59	137	203
60	177	239
61	116	275
62	156	210
63	196	246
64	135	282
65	175	217
66	114	253
67	154	289
68	194	224
69	133	260
70	173	296
71	112	231
72	152	267
73	192	202
74	131	238
75	171	274
76	110	209
77	150	245
78	190	281
79	129	216
80	169	252
81	108	288
82	148	223
83	188	259
84	127	295
85	167	230
86	106	266
87	146	201
88	186	237
89	125	273
90	165	208
91	104	244
92	144	280
93	184	215
94	123	251
95	163	287
96	102	222
97	142	258
98	182	294
99	121	229
100	161	265
1	146	208
2	192	216
3	137	224
